gene	n.umis	n.tot	efficiency	depth	loss	n.obs	n.reads	n.umis.prefilter	n.reads.prefilter
UMAG_10756:3p	1896	10303	0	0.225	0.816	1896	2319	1896	2319
UMAG_10756:5p	1356	8117	0	0.198	0.833	1356	1617	1356	1617
UMAG_10811:3p	1588	7351	0	0.277	0.784	1588	2035	1588	2035
UMAG_10811:5p	1022	6907	0	0.17	0.852	1022	1182	1022	1182
UMAG_10816:3p	2411	15577	0	0.181	0.845	2411	2837	2411	2837
UMAG_10816:5p	2963	15557	0	0.235	0.81	2963	3658	2963	3658
UMAG_10881:3p	927	4928	0	0.231	0.812	927	1139	927	1139
UMAG_10881:5p	1413	7765	0	0.221	0.818	1413	1722	1413	1722
UMAG_10972:3p	1260	5850	0	0.277	0.785	1260	1615	1260	1615
UMAG_10972:5p	1333	6806	0	0.244	0.804	1333	1658	1333	1658
UMAG_10975:3p	1467	6119	0	0.32	0.76	1467	1951	1467	1951
UMAG_10975:5p	1410	7771	0	0.221	0.819	1410	1717	1410	1717
UMAG_11002:3p	1001	4606	0	0.281	0.783	1001	1289	1001	1289
UMAG_11002:5p	1351	7263	0	0.228	0.814	1351	1656	1351	1656
UMAG_11062:3p	15922	72108	0	0.284	0.779	15922	20444	15922	20444
UMAG_11062:5p	11957	66682	0	0.218	0.821	11957	14562	11957	14562
UMAG_11094:3p	18060	90022	0	0.251	0.799	18060	22593	18060	22593
UMAG_11094:5p	4455	57127	0	0.0828	0.922	4455	4794	4455	4794
UMAG_11193:3p	52	267	0	0.242	0.805	52	52	52	52
UMAG_11193:5p	75	473	0	0.18	0.841	75	76	75	76
UMAG_11250:3p	18810	73566	0	0.344	0.744	18810	25300	18810	25300
UMAG_11250:5p	60216	249475	0	0.318	0.759	60216	79390	60216	79390
UMAG_11305:3p	3075	19117	0	0.19	0.839	3075	3651	3075	3651
UMAG_11305:5p	9730	52397	0	0.228	0.814	9730	11944	9730	11944
UMAG_11362:3p	9873	50475	0	0.243	0.804	9873	12273	9873	12273
UMAG_11362:5p	6335	45299	0	0.162	0.86	6335	7344	6335	7344
UMAG_11377:3p	1271	6434	0	0.246	0.802	1271	1585	1271	1585
UMAG_11377:5p	1105	6907	0	0.187	0.84	1105	1302	1105	1302
UMAG_11402:3p	56	334	0	0.194	0.832	56	57	56	57
UMAG_11402:5p	45	260	0	0.203	0.827	45	46	45	46
UMAG_11403:3p	22209	91867	0	0.319	0.758	22209	29310	22209	29310
