"knockout"	"is.neutral"	"n.out"	"loss.out"	"abundance.out"	"n.in"	"loss.in"	"abundance.in"	"log2fc"	"low.pval"	"high.pval"	"low.qval"	"high.qval"
"UMAG_04057"	FALSE	4125	0.7815	9439.35926773455	5772	0.9275	39806.8965517241	-1.220290428459	3.30648046283302e-08	0.999999967186497	3.47180448597467e-07	1
"UMAG_04084"	FALSE	10286	0.8555	35591.6955017301	10913	0.941	92483.0508474575	-0.521681198044451	0.00676343293685299	0.993248611634764	0.020290298810559	1
"UMAG_04096"	FALSE	4	0.805	10.2564102564103	4	0.924	26.3157894736842	-0.503435668808708	0.442617946433566	0.676781656001115	0.546763345594406	1
"UMAG_04104"	FALSE	33139	0.7905	79090.692124105	29743	0.9185	182472.392638037	-0.350131250234483	0.046471282775632	0.953548767500353	0.0975896938288272	1
"UMAG_04111"	FALSE	23070	0.8375	70984.6153846153	24316	0.9335	182827.067669173	-0.508934260793606	0.00780256441073616	0.992203563158523	0.0230419480254552	1
"UMAG_04114"	FALSE	8452	0.8105	22300.7915567282	6225	0.93	44464.2857142857	-0.139584959636674	0.256374487748545	0.743896747722395	0.358924282847963	1
"UMAG_04145"	FALSE	5319	0.792	12786.0576923077	3807	0.92	23793.75	-0.04004402469883	0.437934990534443	0.562602214567864	0.544537586914537	1
"UMAG_04185"	FALSE	3965	0.796	9718.13725490196	2168	0.911	12179.7752808989	0.530231329729689	0.998049865942579	0.00196304393440849	0.999941038905715	0.123671767867735
"UMAG_04189"	FALSE	15890	0.803	40329.9492385787	15931	0.916	94827.380952381	-0.377484969175072	0.0354417112487494	0.964591586248499	0.0769940623679728	1
"UMAG_04282"	FALSE	4992	0.819	13790.0552486188	3684	0.9275	25406.8965517241	-0.0256247928000406	0.466736431811058	0.533842583878364	0.572812893586299	1
"UMAG_04400"	FALSE	3098	0.814	8327.95698924731	2391	0.9145	13982.4561403509	0.108383849353125	0.725388781677652	0.275413138092347	0.820216847990668	1
"UMAG_04696"	FALSE	41614	0.782	95444.9541284404	28661	0.9175	173703.03030303	-0.00791495697769715	0.501828914296229	0.49824186044661	0.611907514851531	1
"UMAG_04815"	FALSE	11361	0.8405	35614.4200626959	14276	0.9195	88670.8074534161	-0.460030583596382	0.0142971300971893	0.985724135125853	0.0360287678449172	1
"UMAG_04893"	FALSE	2268	0.835	6872.72727272727	1978	0.937	15698.4126984127	-0.335696945065465	0.0578090043323055	0.942531928508934	0.115009492829534	1
"UMAG_05222"	FALSE	2068	0.8305	6100.29498525074	1911	0.9305	13748.2014388489	-0.31632485157804	0.0693398297947379	0.931092097499125	0.135105441558819	1
"UMAG_05227"	FALSE	3806	0.8245	10843.3048433048	3097	0.9415	26470.0854700855	-0.43159119062448	0.0209694443365999	0.979118064070249	0.0508105766617612	1
"UMAG_05294"	FALSE	1346	0.833	4029.94011976048	1416	0.941	12000	-0.718236967087576	0.000583650645840857	0.999425567621488	0.00250704481963459	1
"UMAG_05299"	FALSE	2458	0.833	7359.28143712575	2159	0.943	18938.5964912281	-0.507725474461838	0.00903221216316362	0.991031718342219	0.0254789268483272	1
"UMAG_05300"	FALSE	2830	0.8045	7237.85166240409	1265	0.9345	9656.48854961832	0.440030003864988	0.990650127132636	0.00942084842635071	0.999941038905715	0.437150286860649
"UMAG_05301"	FALSE	1560	0.8365	4770.64220183486	7053	0.9405	59268.9075630251	-2.77905294131739	5.31937318588307e-27	1	2.0107230642638e-25	1
"UMAG_05302"	FALSE	2460	0.861	8848.92086330935	2567	0.9335	19300.7518796992	-0.269116486073817	0.10264899166012	0.897846379792281	0.183025088903421	1
